brand,model_name,model_norm,product_type,car_year,vehicle_age,car_price,brand_origin,segment,brand_tier,rv_grade,risk_grade,profit_grade,brand_delinquency_rate,model_delinquency_rate,model_profit_rate,reference_new_price,brand_reference_new_price,brand_new_obs,implied_residual_ratio
AUDI,A7,A7,Used Car,2012,12.0,36000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,42500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,40000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,41500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2012,12.0,34000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,43000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,43000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,38000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,38000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,49000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,41500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,45000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,39500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,38000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
